column_number,row_letter,concentration,well,plate,mouse_id,name
1,0,1.376376464840293,0.01.0,MAA000154,30_2_M,0.01.0-MAA000154-30_2_M-1
1,1,1.2798490600492103,1.01.0,MAA000154,30_2_M,1.01.0-MAA000154-30_2_M-1
1,2,0.4138335014869572,2.01.0,MAA000154,30_2_M,2.01.0-MAA000154-30_2_M-1
1,3,0.5583682333398474,3.01.0,MAA000154,30_2_M,3.01.0-MAA000154-30_2_M-1
1,4,1.5654057633547853,4.01.0,MAA000154,30_2_M,4.01.0-MAA000154-30_2_M-1
1,5,0.6352557337770085,5.01.0,MAA000154,30_2_M,5.01.0-MAA000154-30_2_M-1
1,6,1.7917523144093301,6.01.0,MAA000154,30_2_M,6.01.0-MAA000154-30_2_M-1
1,7,1.7171943036012947,7.01.0,MAA000154,30_2_M,7.01.0-MAA000154-30_2_M-1
1,8,1.3994896872353841,8.01.0,MAA000154,30_2_M,8.01.0-MAA000154-30_2_M-1
1,9,1.2401078952629458,9.01.0,MAA000154,30_2_M,9.01.0-MAA000154-30_2_M-1
1,10,2.5067072235327377,10.01.0,MAA000154,30_2_M,10.01.0-MAA000154-30_2_M-1
1,11,0.39329837510521853,11.01.0,MAA000154,30_2_M,11.01.0-MAA000154-30_2_M-1
1,12,1.2564955978308998,12.01.0,MAA000154,30_2_M,12.01.0-MAA000154-30_2_M-1
1,13,1.3552987072160592,13.01.0,MAA000154,30_2_M,13.01.0-MAA000154-30_2_M-1
1,14,3.42491817055262,14.01.0,MAA000154,30_2_M,14.01.0-MAA000154-30_2_M-1
1,15,0.49823297848597303,15.01.0,MAA000154,30_2_M,15.01.0-MAA000154-30_2_M-1
2,0,0.4950572709720752,0.02.0,MAA000154,30_2_M,0.02.0-MAA000154-30_2_M-1
2,1,1.3068527333128515,1.02.0,MAA000154,30_2_M,1.02.0-MAA000154-30_2_M-1
2,2,0.3119526928739893,2.02.0,MAA000154,30_2_M,2.02.0-MAA000154-30_2_M-1
2,3,1.4168120541901912,3.02.0,MAA000154,30_2_M,3.02.0-MAA000154-30_2_M-1
2,4,1.484744943903181,4.02.0,MAA000154,30_2_M,4.02.0-MAA000154-30_2_M-1
2,5,1.1845479540572463,5.02.0,MAA000154,30_2_M,5.02.0-MAA000154-30_2_M-1
2,6,1.2976602732114633,6.02.0,MAA000154,30_2_M,6.02.0-MAA000154-30_2_M-1
2,7,1.3542445205290972,7.02.0,MAA000154,30_2_M,7.02.0-MAA000154-30_2_M-1
2,8,0.40048166534177343,8.02.0,MAA000154,30_2_M,8.02.0-MAA000154-30_2_M-1
2,9,1.6187664942384778,9.02.0,MAA000154,30_2_M,9.02.0-MAA000154-30_2_M-1
2,10,0.49067199778107357,10.02.0,MAA000154,30_2_M,10.02.0-MAA000154-30_2_M-1
2,11,1.1784726355427027,11.02.0,MAA000154,30_2_M,11.02.0-MAA000154-30_2_M-1
