
Basic assay information 
Assay ID: ,,,,156
Assay Started: ,,,,6/26/2019 11:28:45 AM
Assay Finished: ,,,,6/26/2019 11:30:33 AM
Assay Exported: ,,,,6/26/2019 11:31:04 AM
Protocol ID: ,,,,100102
Protocol Name: ,,,,96 Lum
Serial#: ,,,,="1050194"



Protocol information
Instrument nickname,,,,EnVision
Instrument serial number,,,,1050194
Assay started,,,,6/26/2019 11:28:45 AM
User,,,,N/A
Assay ID,,,,156
Protocol name,,,,96 Lum
Plate name,,,,96 Costar White

Labels:
Label name,,,,US LUM 96 (cps)
 Aperture:
 Aperture name,,,,96 Plate US Luminescence aperture



Assay notifications:
WARNING: Warning while loading plate. Stacker out of plates. Plate 2 Plate Repeat 1 Well H01

INFO: Assay aborted at plate 2  plate repeat 1 and well H01. There may be missing results


Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,
1,1,"=""""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 96 (cps)(1) channel 1,6/26/2019 11:29:30 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,US LUM 96 (cps),0,3080,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 96 (cps)(1) channel 1
,01,02,03,04,05,06,07,08,09,10,11,12,
A,2320.0,8280.0,7800.0,6120.0,4760.0,5080.0,6240.0,5800.0,7600.0,8440.0,9760.0,1840.0,
B,10120,43288320,45221200,48331680,53063560,55579880,55043960,55167120,55533200,54982000,53007920,10080,
C,5920.0,31865680,47088640,54150160,59239840,61267920,59410480,60044000,59186600,58054560,57993680,11120,
D,3880.0,11902960,32478400,43745560,50736560,55835680,59228440,61303680,61723920,58716000,58571840,9960.0,
E,6680.0,43551080,56699400,59935000,61489640,62541880,63271960,62456480,63389960,61506800,59637360,7760.0,
F,9440.0,55868640,60294920,61619240,62181720,62741840,63110480,62144280,62663960,60687000,59169640,8320.0,
G,7520.0,40180080,55266000,58085280,60378680,61814120,62385640,61497080,61487480,59504640,59042920,8040.0,
H,1840.0,6200.0,7360.0,7080.0,6640.0,6120.0,6960.0,6800.0,7120.0,9280.0,8320.0,2520.0,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,"=""""",14.28,23.29,23.29,53,53,23.58,23.68,1,US LUM 96 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,6/26/2019 11:29:30 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,US LUM 96 (cps),0,3080,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

