
Basic assay information 
Assay ID: ,,,,153
Assay Started: ,,,,6/26/2019 11:16:16 AM
Assay Finished: ,,,,6/26/2019 11:18:04 AM
Assay Exported: ,,,,6/26/2019 11:18:33 AM
Protocol ID: ,,,,100102
Protocol Name: ,,,,96 Lum
Serial#: ,,,,="1050194"



Protocol information
Instrument nickname,,,,EnVision
Instrument serial number,,,,1050194
Assay started,,,,6/26/2019 11:16:16 AM
User,,,,N/A
Assay ID,,,,153
Protocol name,,,,96 Lum
Plate name,,,,96 Costar White

Labels:
Label name,,,,US LUM 96 (cps)
 Aperture:
 Aperture name,,,,96 Plate US Luminescence aperture



Assay notifications:
WARNING: Warning while loading plate. Stacker out of plates. Plate 2 Plate Repeat 1 Well H01

INFO: Assay aborted at plate 2  plate repeat 1 and well H01. There may be missing results


Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,
1,1,"=""""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 96 (cps)(1) channel 1,6/26/2019 11:17:01 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,US LUM 96 (cps),0,272,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 96 (cps)(1) channel 1
,01,02,03,04,05,06,07,08,09,10,11,12,
A,360.00,240.00,360.00,440.00,520.00,560.00,440.00,520.00,520.00,560.00,680.00,480.00,
B,280.00,166200,263440,538240,1367560,3557560,4158600,3949080,3036400,3018080,4260360,560.00,
C,320.00,683360,1703560,2732280,4012640,3708680,5162640,4499000,3942440,4911560,2898560,480.00,
D,400.00,11640,1082040,1705520,2396880,3525400,3552200,3278400,3376560,5813240,4897680,720.00,
E,680.00,3556520,3186280,3907000,4831520,2835760,2685400,5013240,4268160,6498560,3712160,480.00,
F,640.00,3765600,7093400,6465360,3681800,3508720,4702640,5441840,3985360,3001040,4191000,680.00,
G,360.00,566520,2861280,3531080,4065520,3920200,4021880,3695040,4794080,2863040,3373760,520.00,
H,280.00,280.00,320.00,400.00,520.00,480.00,400.00,320.00,520.00,400.00,600.00,360.00,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,"=""""",14.31,23.19,23.19,54.4,55.1,23.08,22.89,1,US LUM 96 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,6/26/2019 11:17:01 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,US LUM 96 (cps),0,272,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Results for US LUM 96 (cps)(1) - channel 0 (CPS)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,360,240,360,440,520,560,440,520,520,560,680,480,
B,280,166200,263440,538240,1367560,3557560,4158600,3949080,3036400,3018080,4260360,560,
C,320,683360,1703560,2732280,4012640,3708680,5162640,4499000,3942440,4911560,2898560,480,
D,400,11640,1082040,1705520,2396880,3525400,3552200,3278400,3376560,5813240,4897680,720,
E,680,3556520,3186280,3907000,4831520,2835760,2685400,5013240,4268160,6498560,3712160,480,
F,640,3765600,7093400,6465360,3681800,3508720,4702640,5441840,3985360,3001040,4191000,680,
G,360,566520,2861280,3531080,4065520,3920200,4021880,3695040,4794080,2863040,3373760,520,
H,280,280,320,400,520,480,400,320,520,400,600,360,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,
